bulan,nasional_ribu,jabodetabek_ribu,non_jabodetabek_ribu,jawa_ribu,sumatera_ribu,bandara_ribu,mrt_ribu,lrt_ribu,cepat_ribu
2006-01,11828,8681,2823,11504,324,,,,
2006-02,11931,8144,3561,11705,226,,,,
2006-03,13314,8920,4146,13066,248,,,,
2006-04,12909,8462,4195,12657,252,,,,
2006-05,13575,8899,4413,13312,263,,,,
2006-06,13203,8606,4323,12929,274,,,,
2006-07,14433,8787,5300,14087,346,,,,
2006-08,13255,8661,4330,12991,264,,,,
2006-09,13436,8829,4354,13183,253,,,,
2006-10,14290,8767,5182,13949,341,,,,
2006-11,13631,8895,4474,13369,262,,,,
2006-12,13614,8774,4570,13344,270,,,,
2007-01,13960,8723,4924,13647,313,,,,
2007-02,10969,7566,3193,10759,210,,,,
2007-03,13409,9009,4158,13167,242,,,,
2007-04,14415,10206,3983,14189,226,,,,
2007-05,15232,10608,4331,14939,293,,,,
2007-06,15104,10310,4510,14820,284,,,,
2007-07,16454,10761,5331,16092,362,,,,
2007-08,15419,10653,4491,15144,275,,,,
2007-09,15033,10446,4346,14792,241,,,,
2007-10,15866,9887,5578,15465,401,,,,
2007-11,14391,10031,4110,14141,250,,,,
2007-12,15084,9895,4871,14766,318,,,,
2008-01,15027,9868,4829,14697,330,,,,
2008-02,14378,9673,4443,14116,262,,,,
2008-03,16071,10469,5287,15756,315,,,,
2008-04,15711,10562,4873,15435,276,,,,
2008-05,16363,10582,5472,16054,309,,,,
2008-06,17010,10824,5812,16636,374,,,,
2008-07,17888,11206,6257,17463,425,,,,
2008-08,17108,11129,5641,16769,339,,,,
2008-09,15879,10481,5123,15604,275,,,,
2008-10,17337,10379,6522,16901,436,,,,
2008-11,15973,10583,5113,15696,277,,,,
2008-12,15332,9695,5316,15011,321,,,,
2009-01,14494,10686,3560,14246,248,,,,
2009-02,13869,9984,3609,13593,276,,,,
2009-03,17132,11185,5641,16826,306,,,,
2009-04,16775,10908,5550,16458,317,,,,
