bulan,nasional_ribu,jabodetabek_ribu,non_jabodetabek_ribu,jawa_ribu,sumatera_ribu
2006-01-01,11828,8681.0,2823.0,11504.0,324.0
2006-02-01,11931,8144.0,3561.0,11705.0,226.0
2006-03-01,13314,8920.0,4146.0,13066.0,248.0
2006-04-01,12909,8462.0,4195.0,12657.0,252.0
2006-05-01,13575,8899.0,4413.0,13312.0,263.0
2006-06-01,13203,8606.0,4323.0,12929.0,274.0
2006-07-01,14433,8787.0,5300.0,14087.0,346.0
2006-08-01,13255,8661.0,4330.0,12991.0,264.0
2006-09-01,13436,8829.0,4354.0,13183.0,253.0
2006-10-01,14290,8767.0,5182.0,13949.0,341.0
2006-11-01,13631,8895.0,4474.0,13369.0,262.0
2006-12-01,13614,8774.0,4570.0,13344.0,270.0
2007-01-01,13960,8723.0,4924.0,13647.0,313.0
2007-02-01,10969,7566.0,3193.0,10759.0,210.0
2007-03-01,13409,9009.0,4158.0,13167.0,242.0
2007-04-01,14415,10206.0,3983.0,14189.0,226.0
2007-05-01,15232,10608.0,4331.0,14939.0,293.0
2007-06-01,15104,10310.0,4510.0,14820.0,284.0
2007-07-01,16454,10761.0,5331.0,16092.0,362.0
2007-08-01,15419,10653.0,4491.0,15144.0,275.0
2007-09-01,15033,10446.0,4346.0,14792.0,241.0
2007-10-01,15866,9887.0,5578.0,15465.0,401.0
2007-11-01,14391,10031.0,4110.0,14141.0,250.0
2007-12-01,15084,9895.0,4871.0,14766.0,318.0
2008-01-01,15027,9868.0,4829.0,14697.0,330.0
2008-02-01,14378,9673.0,4443.0,14116.0,262.0
2008-03-01,16071,10469.0,5287.0,15756.0,315.0
2008-04-01,15711,10562.0,4873.0,15435.0,276.0
2008-05-01,16363,10582.0,5472.0,16054.0,309.0
2008-06-01,17010,10824.0,5812.0,16636.0,374.0
2008-07-01,17888,11206.0,6257.0,17463.0,425.0
2008-08-01,17108,11129.0,5641.0,16769.0,339.0
2008-09-01,15879,10481.0,5123.0,15604.0,275.0
2008-10-01,17337,10379.0,6522.0,16901.0,436.0
2008-11-01,15973,10583.0,5113.0,15696.0,277.0
2008-12-01,15332,9695.0,5316.0,15011.0,321.0
2009-01-01,14494,10686.0,3560.0,14246.0,248.0
2009-02-01,13869,9984.0,3609.0,13593.0,276.0
2009-03-01,17132,11185.0,5641.0,16826.0,306.0
2009-04-01,16775,10908.0,5550.0,16458.0,317.0
2009-05-01,17824,11448.0,6019.0,17467.0,357.0
2009-06-01,18143,11384.0,6362.0,17746.0,397.0
2009-07-01,18385,11348.0,6611.0,17959.0,426.0
2009-08-01,17527,10905.0,6299.0,17204.0,323.0
2009-09-01,17281,10243.0,6597.0,16840.0,441.0
2009-10-01,17751,11087.0,6351.0,17438.0,313.0
2009-11-01,16778,10592.0,5842.0,16434.0,344.0
2009-12-01,17581,10738.0,6472.0,17210.0,371.0
